title,published_date,duration_seconds,views,likes,comments,upload_month,published_year,published_month
"SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | MAKE OVER | OFFICIAL EPISODE 33","2022-01-06 00:00:00",314,129122,7539,355,2022-01,2022,1
"SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | KÝ HỢP ĐỒNG | OFFICIAL EPISODE 32","2021-12-30 00:00:00",284,111539,7080,272,2021-12,2021,12
"SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | TÔI ĐỒNG Ý | OFFICIAL EPISODE 31","2021-12-23 00:00:00",256,106308,6812,423,2021-12,2021,12
"SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | TÙNG FAKE TÙNG REAL | OFFICIAL EPISODE 30","2021-12-16 00:00:00",297,131327,8088,388,2021-12,2021,12
"SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | LẾT XI TY | OFFICIAL EPISODE 29","2021-12-09 00:00:00",321,127017,8318,500,2021-12,2021,12
"SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | PAPARAZZI | OFFICIAL EPISODE 28","2021-12-02 00:00:00",367,122279,8213,372,2021-12,2021,12
"SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | TÔI LÀ QUẢN LÝ CỦA CẬU | OFFICIAL EPISODE 27","2021-11-25 00:00:00",386,122702,8257,441,2021-11,2021,11
"SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | VI PHẠM HỢP ĐỒNG | OFFICIAL EPISODE 26","2021-11-18 00:00:00",403,133224,9077,435,2021-11,2021,11
"SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | CHỊ ĐIÊN HAY HỌ ĐIÊN  | OFFICIAL EPISODE 25","2021-11-11 00:00:00",392,129222,9441,486,2021-11,2021,11
"SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | MR.D ĐẾN RỒI | OFFICIAL EPISODE 24","2021-11-04 00:00:00",330,135922,9312,532,2021-11,2021,11
"SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | LỚP BỔ TÚC CỦA MY LAN | OFFICIAL EPISODE 23","2021-10-28 00:00:00",372,139417,9594,477,2021-10,2021,10
"SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | MỘT ĐÊM KHÓ NGỦ | OFFICIAL EPISODE 22","2021-10-21 00:00:00",400,146493,10335,556,2021-10,2021,10
"SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | 3 NGƯỜI BỊ TÂM THẦN | OFFICIAL EPISODE 21","2021-10-14 00:00:00",344,141747,10100,567,2021-10,2021,10
"SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | CHỦ NHÂN SỢ CHÓ! | OFFICIAL EPISODE 20","2021-09-23 00:00:00",336,182992,12367,775,2021-09,2021,9
"SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | CHUNG CƯ CỦA NGƯỜI NỔI TIẾNG | OFFICIAL EPISODE 19","2021-09-16 00:00:00",342,163702,11491,527,2021-09,2021,9
"SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | ĐỪNG HÒNG CHIA CẮT CHÚNG TÔI | OFFICIAL EPISODE 18","2021-09-09 00:00:00",325,164542,11797,593,2021-09,2021,9
"SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | VỀ NHÀ | OFFICIAL EPISODE 17","2021-09-02 00:00:00",304,182652,12485,577,2021-09,2021,9
"SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | GẶP LẠI NHI LAN | OFFICIAL EPISODE 16","2021-08-26 00:00:00",370,189057,13279,669,2021-08,2021,8
"SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | ĐẠI NAM | OFFICIAL EPISODE 15","2021-08-19 00:00:00",273,195623,13663,668,2021-08,2021,8
"SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | NÁO LOẠN Ở NGÃ 6 | OFFICIAL EPISODE 14","2021-08-12 00:00:00",256,201739,13757,684,2021-08,2021,8
"SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | CẢI TRANG | OFFICIAL EPISODE 13","2021-08-05 00:00:00",261,184016,12359,653,2021-08,2021,8
"SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | CẦM ĐỒ | OFFICIAL EPISODE 12","2021-07-29 00:00:00",336,180618,12766,559,2021-07,2021,7
"SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | TRẦN TÙNG | OFFICIAL EPISODE 11","2021-07-22 00:00:00",319,195331,13337,768,2021-07,2021,7
"SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | THẾ GIỚI MỚI | OFFICIAL EPISODE 10","2021-07-09 00:00:00",379,290873,18225,1253,2021-07,2021,7
"SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | ĐĂNG CƠ | OFFICIAL EPISODE 9","2021-07-01 00:00:00",359,286361,18225,1529,2021-07,2021,7
"SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | TÂN ĐẾ | OFFICIAL EPISODE 8","2021-06-24 00:00:00",354,299754,18991,929,2021-06,2021,6
"SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | 10 NĂM ẨN NHẪN | OFFICIAL EPISODE 7","2021-06-17 00:00:00",329,302023,19673,1005,2021-06,2021,6
"SƠN TÙNG M-TP | MUỘN RỒI MÀ SAO CÒN | LIVE PERFORMANCE | LAZADA SUPERSHOW 6.6","2021-06-10 00:00:00",284,4146019,141415,9889,2021-06,2021,6
"SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | ĐẢO CHÍNH | OFFICIAL EPISODE 6","2021-06-10 00:00:00",320,303434,20857,1058,2021-06,2021,6
