VideoId,Title,VideoType,LiveStatus,CategoryId,CategoryName,Published_date,DurationSeconds,Views,Likes,Comments
vMWpIfxvnWo,Taylor Swift - Shake It Off Outtakes Video #4 - The Animators (Behind The Scenes Video),Regular,none,10,Music,2014-09-17 04:01:00+00:00,238,6289926,56322,1498
TEpTNFHHjNg,Taylor Swift - Shake It Off Outtakes Video #1 - The Cheerleaders (Behind The Scenes Video),Regular,none,10,Music,2014-09-12 04:01:00+00:00,232,18553288,168416,3962
kY-_D-IptZE,Taylor Swift - Shake It Off Outtakes Video #2 - The Ballerinas (Behind The Scenes Video),Regular,none,10,Music,2014-09-12 04:01:00+00:00,224,10470137,90932,2039
zdYy6-P_ggQ,Taylor Swift - Shake It Off Outtakes Video #3 - The Modern Dancers (Behind The Scenes Video),Regular,none,10,Music,2014-09-12 04:01:00+00:00,241,5285513,56976,1092
1D5E5KLkfsI,Taylor Swift's Worldwide Live Stream on Yahoo - Highlights,Regular,none,10,Music,2014-08-19 06:54:29+00:00,211,426821,8466,316
nfWlot6h_JM,Taylor Swift - Shake It Off,Regular,none,10,Music,2014-08-18 21:18:00+00:00,242,3608415204,13985436,598790
J1LMp-jEH_k,Surprising Gena,Regular,none,10,Music,2014-04-16 22:44:24+00:00,271,3577909,59452,3730
UfRqjF_8IqQ,Taylor Swift RED Tour Asia announcement,Short,none,10,Music,2014-02-13 05:46:11+00:00,42,275358,7487,1251
kpzwfS5x068,Taylor Swift Fragrances Made Of Starlight Musical Edition,Short,none,10,Music,2013-12-05 21:24:59+00:00,31,503713,12994,369
QuijXg8wm28,Taylor Swift - The Last Time ft. Gary Lightbody,Regular,none,10,Music,2013-11-16 01:06:06+00:00,228,51248091,377926,10972
DJXfSaOJXOQ,Taylor Swift RED Tour Nashville Week,Regular,none,10,Music,2013-10-08 22:41:00+00:00,528,965049,16589,1085
SvEbXNgvXWY,Taylor Swift RED Tour London announcement,Short,none,10,Music,2013-09-30 06:05:16+00:00,50,210339,4709,1209
FTA4kzsTmxc,Taylor Swift and Jennifer Lopez: Jenny from the Block,Regular,none,10,Music,2013-09-12 21:34:41+00:00,356,13302418,117910,3632
6wEVDvnqQOM,Behind the scenes of Taylor Swift's week at Staples Center,Regular,none,10,Music,2013-09-06 16:35:47+00:00,426,824100,14689,1022
Ac7wMLgLtpY,Taylor Swift on Style: Outtakes,Regular,none,10,Music,2013-08-16 15:57:47+00:00,94,187547,4511,259
41Zxe-tqjoE,Taylor Swift on Style: Part 4,Regular,none,10,Music,2013-08-14 17:23:18+00:00,110,115615,2931,135
y9yIBAmBDtk,Taylor Swift on Style: Part 3,Regular,none,10,Music,2013-08-12 15:13:58+00:00,92,127909,3515,204
EuT6nQvdcpo,"Q&A with Taylor on Taylor By Taylor Swift, the fragrance",Short,none,10,Music,2013-08-01 22:14:56+00:00,37,247827,5958,420
C2giKOnk588,#HiFromTaylor Teaser,Short,none,10,Music,2013-07-30 14:37:58+00:00,9,153574,4368,401
y7CsaOF3S5c,Taylor Swift and Carly Simon: You're So Vain,Regular,none,10,Music,2013-07-29 15:59:25+00:00,149,1345746,23924,1119
xmauy4h3rPg,Welcome to the Official Taylor Swift YouTube Channel!,Short,none,10,Music,2013-07-25 14:58:57+00:00,59,106495,3899,439
Zlot0i3Zykw,Taylor Swift - Red,Regular,none,10,Music,2013-07-03 20:55:08+00:00,242,253708272,1517366,63910
YUSPwqd4674,Taylor by Taylor Swift Fragrance Video Part 1,Short,none,10,Music,2013-07-01 11:07:59+00:00,31,654202,10467,1028
LGA54hn8uwU,Taylor By Taylor Swift commercial: sneak peek,Short,none,24,Entertainment,2013-06-13 18:02:25+00:00,20,349406,12550,985
YfPfgZjhH1w,Britain's Got Talent performance: Everything Has Changed,Regular,none,10,Music,2013-06-12 16:20:01+00:00,371,2912133,75400,2957
w1oM3kQpXRo,Taylor Swift - Everything Has Changed ft. Ed Sheeran,Regular,none,10,Music,2013-06-06 04:07:16+00:00,252,425626361,3315998,157681
1hdDXzS63SY,Taylor Swift - Billboard Milestone Award,Short,none,24,Entertainment,2013-05-15 17:01:30+00:00,47,109323,3770,388
JgkCFCOAn48,The RED Tour Australia/New Zealand Announcement!,Short,none,10,Music,2013-05-08 13:58:36+00:00,50,239540,5506,1759
GDdVOpZkqRI,Vote Taylor Swift ACM Entertainer of the Year: VoteACM.com,Short,none,10,Music,2013-04-06 00:39:56+00:00,56,129364,4125,490
NZnRUnOQZWU,"""Red"" Guitar Solo from RED Tour Opening Night",Short,none,10,Music,2013-03-15 21:28:24+00:00,32,478189,11483,857
3H21433WdtU,"""Holy Ground"" Live on the RED Tour!",Short,none,10,Music,2013-03-15 21:22:06+00:00,45,359495,8993,676
Nx-5bHeC6xo,"""Sparks Fly"" (acoustic) Live on the RED Tour!",Short,none,10,Music,2013-03-15 21:08:37+00:00,49,769394,19248,941
ueZmiOaDDlU,What Fans Can Expect on the RED Tour,Short,none,10,Music,2013-03-15 20:51:38+00:00,42,174163,5020,523
AgFeZr5ptV8,Taylor Swift - 22,Regular,none,10,Music,2013-03-13 15:25:06+00:00,243,711469794,3525915,293443
rghH6QlT5a0,"""I Knew You Were Trouble."" Behind-The-Scenes #1",Regular,none,10,Music,2013-02-05 21:50:27+00:00,162,959366,20060,878
jinbX0hwYOo,"""I Knew You Were Trouble."" Behind-The-Scenes #3",Regular,none,10,Music,2013-02-05 21:31:21+00:00,217,423040,10752,486
sIjKXPXjVxU,"""I Knew You Were Trouble."" Behind-The-Scenes #2",Regular,none,10,Music,2013-02-05 21:30:26+00:00,234,438474,10504,410
LyoTb3fxEnU,Some extraordinary news...,Short,none,24,Entertainment,2013-01-27 20:59:07+00:00,45,1178487,19699,3139
2obMo7y-rvA,Taylor Swift - Acoustic Performances from RED Album,Regular,none,24,Entertainment,2012-12-17 17:18:21+00:00,927,10812376,212884,11062
